;Sweep Count;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
;Sweep Time (s);391.000E-3;20.393E+0;40.409E+0;60.426E+0;80.435E+0;100.444E+0;120.449E+0;140.468E+0;160.469E+0;180.471E+0;200.472E+0;220.473E+0;240.474E+0;260.475E+0;280.475E+0;300.476E+0;320.477E+0;340.478E+0;360.479E+0;380.480E+0;400.480E+0;420.481E+0;440.482E+0;460.483E+0;480.484E+0;500.485E+0;520.486E+0;540.487E+0;560.487E+0
Sample Point;Sample Time (us);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);Raw Data (A);
5102;510100;-33.102E-12;-28.373E-12;-44.136E-12;-36.255E-12;-44.136E-12;-53.594E-12;-50.441E-12;-64.628E-12;-75.662E-12;-70.933E-12;-102.459E-12;-107.188E-12;-110.340E-12;-124.527E-12;-135.561E-12;-146.595E-12;-152.900E-12;-217.528E-12;-233.291E-12;-250.630E-12;-261.664E-12;-261.664E-12;-275.851E-12;-267.970E-12;-285.309E-12;-285.309E-12;-299.495E-12;-293.190E-12;-286.885E-12
5103;510200;-36.255E-12;-33.102E-12;-42.560E-12;-44.136E-12;-52.018E-12;-58.323E-12;-66.204E-12;-74.086E-12;-89.849E-12;-100.883E-12;-99.306E-12;-121.374E-12;-127.680E-12;-132.409E-12;-162.358E-12;-173.392E-12;-190.731E-12;-233.291E-12;-255.359E-12;-266.393E-12;-291.614E-12;-282.156E-12;-302.648E-12;-299.495E-12;-312.106E-12;-316.835E-12;-312.106E-12;-302.648E-12;-301.072E-12
5104;510300;-29.950E-12;-28.373E-12;-28.373E-12;-40.984E-12;-59.899E-12;-50.441E-12;-48.865E-12;-75.662E-12;-85.120E-12;-96.154E-12;-110.340E-12;-116.646E-12;-135.561E-12;-133.985E-12;-156.053E-12;-168.663E-12;-176.545E-12;-242.749E-12;-249.054E-12;-271.122E-12;-282.156E-12;-283.733E-12;-291.614E-12;-299.495E-12;-308.953E-12;-316.835E-12;-312.106E-12;-318.411E-12;-299.495E-12
5105;510400;-29.950E-12;-33.102E-12;-28.373E-12;-40.984E-12;-55.170E-12;-47.289E-12;-56.747E-12;-70.933E-12;-91.425E-12;-96.154E-12;-100.883E-12;-108.764E-12;-127.680E-12;-126.103E-12;-138.714E-12;-162.358E-12;-176.545E-12;-220.681E-12;-234.867E-12;-253.783E-12;-275.851E-12;-263.241E-12;-280.580E-12;-290.038E-12;-299.495E-12;-313.682E-12;-316.835E-12;-310.529E-12;-308.953E-12
5106;510500;-17.339E-12;-28.373E-12;-34.678E-12;-34.678E-12;-52.018E-12;-36.255E-12;-53.594E-12;-74.086E-12;-75.662E-12;-93.001E-12;-93.001E-12;-99.306E-12;-113.493E-12;-111.917E-12;-116.646E-12;-145.019E-12;-149.748E-12;-198.613E-12;-233.291E-12;-234.867E-12;-272.698E-12;-255.359E-12;-279.004E-12;-267.970E-12;-280.580E-12;-294.767E-12;-299.495E-12;-302.648E-12;-291.614E-12
5107;510600;-25.221E-12;-25.221E-12;-29.950E-12;-34.678E-12;-47.289E-12;-44.136E-12;-56.747E-12;-74.086E-12;-63.052E-12;-77.238E-12;-85.120E-12;-96.154E-12;-105.612E-12;-99.306E-12;-110.340E-12;-122.951E-12;-141.866E-12;-195.460E-12;-223.833E-12;-231.715E-12;-253.783E-12;-252.207E-12;-258.512E-12;-261.664E-12;-272.698E-12;-280.580E-12;-283.733E-12;-299.495E-12;-275.851E-12
5108;510700;-20.492E-12;-22.068E-12;-28.373E-12;-34.678E-12;-47.289E-12;-42.560E-12;-52.018E-12;-58.323E-12;-69.357E-12;-75.662E-12;-80.391E-12;-81.967E-12;-91.425E-12;-94.578E-12;-113.493E-12;-119.798E-12;-143.443E-12;-184.426E-12;-217.528E-12;-225.410E-12;-245.902E-12;-238.020E-12;-252.207E-12;-258.512E-12;-263.241E-12;-274.275E-12;-283.733E-12;-288.461E-12;-263.241E-12
5109;510800;-26.797E-12;-23.644E-12;-23.644E-12;-37.831E-12;-39.407E-12;-40.984E-12;-50.441E-12;-52.018E-12;-61.475E-12;-75.662E-12;-67.781E-12;-85.120E-12;-94.578E-12;-96.154E-12;-102.459E-12;-122.951E-12;-138.714E-12;-182.850E-12;-206.494E-12;-230.139E-12;-238.020E-12;-233.291E-12;-244.325E-12;-256.936E-12;-275.851E-12;-282.156E-12;-285.309E-12;-290.038E-12;-264.817E-12
5110;510900;-33.102E-12;-26.797E-12;-23.644E-12;-37.831E-12;-40.984E-12;-39.407E-12;-39.407E-12;-61.475E-12;-75.662E-12;-67.781E-12;-72.509E-12;-83.543E-12;-75.662E-12;-100.883E-12;-107.188E-12;-115.069E-12;-135.561E-12;-189.155E-12;-200.189E-12;-230.139E-12;-236.444E-12;-228.562E-12;-242.749E-12;-241.173E-12;-274.275E-12;-275.851E-12;-274.275E-12;-282.156E-12;-271.122E-12
5111;511000;-37.831E-12;-23.644E-12;-33.102E-12;-33.102E-12;-33.102E-12;-45.712E-12;-44.136E-12;-61.475E-12;-66.204E-12;-67.781E-12;-64.628E-12;-75.662E-12;-85.120E-12;-83.543E-12;-94.578E-12;-113.493E-12;-129.256E-12;-181.274E-12;-208.071E-12;-219.105E-12;-236.444E-12;-223.833E-12;-255.359E-12;-244.325E-12;-264.817E-12;-271.122E-12;-275.851E-12;-271.122E-12;-263.241E-12
5112;511100;-31.526E-12;-31.526E-12;-28.373E-12;-23.644E-12;-31.526E-12;-42.560E-12;-39.407E-12;-61.475E-12;-63.052E-12;-63.052E-12;-70.933E-12;-72.509E-12;-89.849E-12;-81.967E-12;-105.612E-12;-132.409E-12;-132.409E-12;-190.731E-12;-206.494E-12;-223.833E-12;-234.867E-12;-231.715E-12;-247.478E-12;-253.783E-12;-260.088E-12;-280.580E-12;-279.004E-12;-277.427E-12;-271.122E-12
5113;511200;-31.526E-12;-28.373E-12;-22.068E-12;-26.797E-12;-42.560E-12;-39.407E-12;-48.865E-12;-56.747E-12;-63.052E-12;-63.052E-12;-72.509E-12;-69.357E-12;-86.696E-12;-88.272E-12;-100.883E-12;-133.985E-12;-129.256E-12;-179.697E-12;-211.223E-12;-244.325E-12;-236.444E-12;-234.867E-12;-261.664E-12;-245.902E-12;-264.817E-12;-279.004E-12;-277.427E-12;-274.275E-12;-271.122E-12
5114;511300;-22.068E-12;-20.492E-12;-31.526E-12;-22.068E-12;-42.560E-12;-31.526E-12;-42.560E-12;-55.170E-12;-59.899E-12;-69.357E-12;-78.815E-12;-75.662E-12;-86.696E-12;-83.543E-12;-100.883E-12;-127.680E-12;-127.680E-12;-190.731E-12;-208.071E-12;-219.105E-12;-244.325E-12;-239.596E-12;-252.207E-12;-255.359E-12;-266.393E-12;-277.427E-12;-282.156E-12;-275.851E-12;-275.851E-12
5115;511400;-26.797E-12;-34.678E-12;-39.407E-12;-28.373E-12;-36.255E-12;-23.644E-12;-34.678E-12;-50.441E-12;-59.899E-12;-59.899E-12;-75.662E-12;-78.815E-12;-88.272E-12;-83.543E-12;-99.306E-12;-122.951E-12;-122.951E-12;-176.545E-12;-203.342E-12;-239.596E-12;-233.291E-12;-242.749E-12;-261.664E-12;-245.902E-12;-258.512E-12;-280.580E-12;-283.733E-12;-271.122E-12;-280.580E-12
5116;511500;-28.373E-12;-26.797E-12;-36.255E-12;-29.950E-12;-44.136E-12;-28.373E-12;-39.407E-12;-47.289E-12;-59.899E-12;-64.628E-12;-74.086E-12;-72.509E-12;-96.154E-12;-85.120E-12;-97.730E-12;-122.951E-12;-132.409E-12;-178.121E-12;-197.036E-12;-222.257E-12;-233.291E-12;-238.020E-12;-256.936E-12;-247.478E-12;-277.427E-12;-280.580E-12;-272.698E-12;-272.698E-12;-277.427E-12
5117;511600;-20.492E-12;-37.831E-12;-26.797E-12;-33.102E-12;-37.831E-12;-33.102E-12;-37.831E-12;-48.865E-12;-56.747E-12;-69.357E-12;-70.933E-12;-72.509E-12;-93.001E-12;-97.730E-12;-99.306E-12;-122.951E-12;-132.409E-12;-186.002E-12;-200.189E-12;-223.833E-12;-255.359E-12;-252.207E-12;-250.630E-12;-250.630E-12;-263.241E-12;-283.733E-12;-282.156E-12;-279.004E-12;-261.664E-12
5118;511700;-29.950E-12;-28.373E-12;-29.950E-12;-31.526E-12;-37.831E-12;-31.526E-12;-45.712E-12;-45.712E-12;-59.899E-12;-63.052E-12;-77.238E-12;-81.967E-12;-86.696E-12;-83.543E-12;-100.883E-12;-122.951E-12;-140.290E-12;-186.002E-12;-206.494E-12;-223.833E-12;-238.020E-12;-238.020E-12;-250.630E-12;-250.630E-12;-263.241E-12;-275.851E-12;-280.580E-12;-272.698E-12;-274.275E-12
5119;511800;-22.068E-12;-25.221E-12;-26.797E-12;-20.492E-12;-40.984E-12;-28.373E-12;-42.560E-12;-50.441E-12;-64.628E-12;-78.815E-12;-74.086E-12;-85.120E-12;-97.730E-12;-100.883E-12;-110.340E-12;-116.646E-12;-133.985E-12;-198.613E-12;-208.071E-12;-234.867E-12;-245.902E-12;-233.291E-12;-256.936E-12;-253.783E-12;-261.664E-12;-280.580E-12;-267.970E-12;-277.427E-12;-275.851E-12
5120;511900;-22.068E-12;-29.950E-12;-26.797E-12;-31.526E-12;-44.136E-12;-20.492E-12;-45.712E-12;-48.865E-12;-63.052E-12;-69.357E-12;-81.967E-12;-75.662E-12;-88.272E-12;-96.154E-12;-115.069E-12;-138.714E-12;-129.256E-12;-193.884E-12;-217.528E-12;-225.410E-12;-242.749E-12;-234.867E-12;-261.664E-12;-252.207E-12;-260.088E-12;-274.275E-12;-279.004E-12;-272.698E-12;-274.275E-12
5121;512000;-25.221E-12;-26.797E-12;-33.102E-12;-29.950E-12;-40.984E-12;-40.984E-12;-44.136E-12;-58.323E-12;-63.052E-12;-74.086E-12;-81.967E-12;-78.815E-12;-88.272E-12;-99.306E-12;-107.188E-12;-121.374E-12;-132.409E-12;-184.426E-12;-214.376E-12;-226.986E-12;-242.749E-12;-234.867E-12;-258.512E-12;-258.512E-12;-256.936E-12;-275.851E-12;-286.885E-12;-271.122E-12;-274.275E-12
5122;512100;-25.221E-12;-25.221E-12;-36.255E-12;-25.221E-12;-44.136E-12;-34.678E-12;-36.255E-12;-59.899E-12;-69.357E-12;-70.933E-12;-81.967E-12;-75.662E-12;-93.001E-12;-93.001E-12;-113.493E-12;-119.798E-12;-126.103E-12;-182.850E-12;-209.647E-12;-231.715E-12;-247.478E-12;-233.291E-12;-256.936E-12;-260.088E-12;-266.393E-12;-277.427E-12;-279.004E-12;-288.461E-12;-264.817E-12
5123;512200;-33.102E-12;-33.102E-12;-26.797E-12;-23.644E-12;-44.136E-12;-33.102E-12;-40.984E-12;-55.170E-12;-69.357E-12;-66.204E-12;-70.933E-12;-81.967E-12;-83.543E-12;-83.543E-12;-105.612E-12;-119.798E-12;-124.527E-12;-186.002E-12;-209.647E-12;-226.986E-12;-255.359E-12;-228.562E-12;-258.512E-12;-249.054E-12;-275.851E-12;-277.427E-12;-280.580E-12;-282.156E-12;-269.546E-12
5124;512300;-25.221E-12;-33.102E-12;-34.678E-12;-23.644E-12;-42.560E-12;-39.407E-12;-50.441E-12;-56.747E-12;-70.933E-12;-67.781E-12;-74.086E-12;-80.391E-12;-88.272E-12;-91.425E-12;-111.917E-12;-118.222E-12;-137.137E-12;-197.036E-12;-209.647E-12;-239.596E-12;-247.478E-12;-238.020E-12;-264.817E-12;-253.783E-12;-272.698E-12;-275.851E-12;-272.698E-12;-288.461E-12;-275.851E-12
5125;512400;-34.678E-12;-29.950E-12;-36.255E-12;-33.102E-12;-40.984E-12;-45.712E-12;-48.865E-12;-58.323E-12;-77.238E-12;-64.628E-12;-85.120E-12;-83.543E-12;-97.730E-12;-93.001E-12;-111.917E-12;-124.527E-12;-135.561E-12;-189.155E-12;-209.647E-12;-222.257E-12;-250.630E-12;-244.325E-12;-258.512E-12;-255.359E-12;-269.546E-12;-283.733E-12;-293.190E-12;-279.004E-12;-274.275E-12
5126;512500;-31.526E-12;-25.221E-12;-34.678E-12;-29.950E-12;-39.407E-12;-47.289E-12;-50.441E-12;-56.747E-12;-64.628E-12;-70.933E-12;-86.696E-12;-78.815E-12;-94.578E-12;-93.001E-12;-111.917E-12;-135.561E-12;-137.137E-12;-193.884E-12;-208.071E-12;-220.681E-12;-245.902E-12;-247.478E-12;-266.393E-12;-255.359E-12;-266.393E-12;-283.733E-12;-291.614E-12;-277.427E-12;-271.122E-12
5127;512600;-26.797E-12;-26.797E-12;-31.526E-12;-36.255E-12;-42.560E-12;-48.865E-12;-44.136E-12;-52.018E-12;-59.899E-12;-67.781E-12;-81.967E-12;-85.120E-12;-93.001E-12;-88.272E-12;-96.154E-12;-127.680E-12;-127.680E-12;-192.308E-12;-217.528E-12;-219.105E-12;-242.749E-12;-247.478E-12;-261.664E-12;-255.359E-12;-272.698E-12;-279.004E-12;-279.004E-12;-286.885E-12;-279.004E-12
5128;512700;-26.797E-12;-26.797E-12;-31.526E-12;-33.102E-12;-45.712E-12;-42.560E-12;-52.018E-12;-61.475E-12;-63.052E-12;-55.170E-12;-83.543E-12;-75.662E-12;-96.154E-12;-91.425E-12;-118.222E-12;-126.103E-12;-133.985E-12;-195.460E-12;-211.223E-12;-230.139E-12;-249.054E-12;-249.054E-12;-261.664E-12;-249.054E-12;-277.427E-12;-286.885E-12;-291.614E-12;-282.156E-12;-271.122E-12
5129;512800;-34.678E-12;-23.644E-12;-29.950E-12;-28.373E-12;-33.102E-12;-42.560E-12;-39.407E-12;-58.323E-12;-63.052E-12;-72.509E-12;-81.967E-12;-74.086E-12;-97.730E-12;-97.730E-12;-110.340E-12;-124.527E-12;-130.832E-12;-181.274E-12;-215.952E-12;-226.986E-12;-245.902E-12;-245.902E-12;-261.664E-12;-260.088E-12;-272.698E-12;-282.156E-12;-279.004E-12;-290.038E-12;-274.275E-12
5130;512900;-28.373E-12;-33.102E-12;-28.373E-12;-33.102E-12;-45.712E-12;-39.407E-12;-44.136E-12;-59.899E-12;-67.781E-12;-77.238E-12;-77.238E-12;-80.391E-12;-89.849E-12;-104.035E-12;-111.917E-12;-115.069E-12;-130.832E-12;-190.731E-12;-211.223E-12;-228.562E-12;-256.936E-12;-241.173E-12;-267.970E-12;-255.359E-12;-263.241E-12;-279.004E-12;-294.767E-12;-291.614E-12;-266.393E-12
5131;513000;-33.102E-12;-34.678E-12;-33.102E-12;-33.102E-12;-44.136E-12;-28.373E-12;-40.984E-12;-59.899E-12;-74.086E-12;-69.357E-12;-83.543E-12;-81.967E-12;-89.849E-12;-93.001E-12;-111.917E-12;-129.256E-12;-137.137E-12;-189.155E-12;-206.494E-12;-226.986E-12;-252.207E-12;-242.749E-12;-261.664E-12;-264.817E-12;-279.004E-12;-280.580E-12;-296.343E-12;-291.614E-12;-272.698E-12
5132;513100;-37.831E-12;-26.797E-12;-26.797E-12;-40.984E-12;-42.560E-12;-42.560E-12;-39.407E-12;-53.594E-12;-69.357E-12;-66.204E-12;-75.662E-12;-91.425E-12;-94.578E-12;-99.306E-12;-118.222E-12;-121.374E-12;-141.866E-12;-193.884E-12;-206.494E-12;-233.291E-12;-252.207E-12;-244.325E-12;-264.817E-12;-264.817E-12;-275.851E-12;-283.733E-12;-296.343E-12;-282.156E-12;-274.275E-12
5133;513200;-34.678E-12;-29.950E-12;-34.678E-12;-34.678E-12;-48.865E-12;-39.407E-12;-34.678E-12;-53.594E-12;-64.628E-12;-70.933E-12;-83.543E-12;-91.425E-12;-94.578E-12;-97.730E-12;-110.340E-12;-113.493E-12;-148.171E-12;-181.274E-12;-211.223E-12;-217.528E-12;-241.173E-12;-250.630E-12;-260.088E-12;-260.088E-12;-269.546E-12;-277.427E-12;-283.733E-12;-294.767E-12;-285.309E-12
5134;513300;-18.916E-12;-22.068E-12;-34.678E-12;-20.492E-12;-39.407E-12;-44.136E-12;-42.560E-12;-58.323E-12;-63.052E-12;-88.272E-12;-70.933E-12;-78.815E-12;-91.425E-12;-99.306E-12;-111.917E-12;-116.646E-12;-137.137E-12;-187.579E-12;-212.799E-12;-231.715E-12;-239.596E-12;-244.325E-12;-271.122E-12;-266.393E-12;-269.546E-12;-280.580E-12;-283.733E-12;-286.885E-12;-272.698E-12
5135;513400;-20.492E-12;-34.678E-12;-36.255E-12;-31.526E-12;-29.950E-12;-44.136E-12;-37.831E-12;-58.323E-12;-66.204E-12;-77.238E-12;-69.357E-12;-72.509E-12;-94.578E-12;-93.001E-12;-113.493E-12;-110.340E-12;-127.680E-12;-203.342E-12;-206.494E-12;-238.020E-12;-252.207E-12;-242.749E-12;-267.970E-12;-256.936E-12;-264.817E-12;-280.580E-12;-279.004E-12;-288.461E-12;-282.156E-12
5136;513500;-31.526E-12;-25.221E-12;-26.797E-12;-25.221E-12;-45.712E-12;-37.831E-12;-47.289E-12;-63.052E-12;-67.781E-12;-70.933E-12;-86.696E-12;-86.696E-12;-97.730E-12;-86.696E-12;-118.222E-12;-124.527E-12;-122.951E-12;-197.036E-12;-206.494E-12;-236.444E-12;-255.359E-12;-249.054E-12;-272.698E-12;-258.512E-12;-269.546E-12;-283.733E-12;-286.885E-12;-286.885E-12;-280.580E-12
5137;513600;-36.255E-12;-23.644E-12;-29.950E-12;-34.678E-12;-40.984E-12;-37.831E-12;-45.712E-12;-53.594E-12;-66.204E-12;-77.238E-12;-83.543E-12;-81.967E-12;-97.730E-12;-94.578E-12;-121.374E-12;-127.680E-12;-137.137E-12;-195.460E-12;-211.223E-12;-228.562E-12;-242.749E-12;-241.173E-12;-267.970E-12;-256.936E-12;-277.427E-12;-282.156E-12;-277.427E-12;-285.309E-12;-282.156E-12
5138;513700;-23.644E-12;-22.068E-12;-36.255E-12;-29.950E-12;-36.255E-12;-37.831E-12;-34.678E-12;-55.170E-12;-67.781E-12;-72.509E-12;-83.543E-12;-75.662E-12;-97.730E-12;-86.696E-12;-121.374E-12;-119.798E-12;-138.714E-12;-192.308E-12;-214.376E-12;-236.444E-12;-249.054E-12;-239.596E-12;-256.936E-12;-250.630E-12;-282.156E-12;-282.156E-12;-286.885E-12;-285.309E-12;-272.698E-12
5139;513800;-25.221E-12;-23.644E-12;-29.950E-12;-29.950E-12;-34.678E-12;-34.678E-12;-40.984E-12;-52.018E-12;-64.628E-12;-66.204E-12;-80.391E-12;-81.967E-12;-93.001E-12;-91.425E-12;-111.917E-12;-127.680E-12;-132.409E-12;-187.579E-12;-214.376E-12;-226.986E-12;-249.054E-12;-244.325E-12;-258.512E-12;-247.478E-12;-272.698E-12;-277.427E-12;-290.038E-12;-293.190E-12;-275.851E-12
5140;513900;-25.221E-12;-31.526E-12;-31.526E-12;-39.407E-12;-37.831E-12;-29.950E-12;-40.984E-12;-59.899E-12;-64.628E-12;-61.475E-12;-78.815E-12;-85.120E-12;-93.001E-12;-89.849E-12;-113.493E-12;-129.256E-12;-135.561E-12;-182.850E-12;-200.189E-12;-242.749E-12;-249.054E-12;-238.020E-12;-256.936E-12;-256.936E-12;-272.698E-12;-277.427E-12;-280.580E-12;-282.156E-12;-279.004E-12
5141;514000;-28.373E-12;-25.221E-12;-37.831E-12;-44.136E-12;-53.594E-12;-29.950E-12;-48.865E-12;-53.594E-12;-74.086E-12;-77.238E-12;-93.001E-12;-85.120E-12;-91.425E-12;-97.730E-12;-121.374E-12;-126.103E-12;-141.866E-12;-190.731E-12;-206.494E-12;-230.139E-12;-244.325E-12;-234.867E-12;-266.393E-12;-256.936E-12;-267.970E-12;-274.275E-12;-279.004E-12;-286.885E-12;-279.004E-12
5142;514100;-31.526E-12;-25.221E-12;-31.526E-12;-33.102E-12;-52.018E-12;-37.831E-12;-50.441E-12;-50.441E-12;-66.204E-12;-78.815E-12;-81.967E-12;-83.543E-12;-88.272E-12;-89.849E-12;-104.035E-12;-135.561E-12;-146.595E-12;-187.579E-12;-217.528E-12;-219.105E-12;-256.936E-12;-238.020E-12;-260.088E-12;-253.783E-12;-269.546E-12;-286.885E-12;-283.733E-12;-279.004E-12;-279.004E-12
5143;514200;-23.644E-12;-20.492E-12;-31.526E-12;-31.526E-12;-44.136E-12;-44.136E-12;-52.018E-12;-53.594E-12;-61.475E-12;-80.391E-12;-88.272E-12;-83.543E-12;-97.730E-12;-89.849E-12;-110.340E-12;-137.137E-12;-132.409E-12;-192.308E-12;-208.071E-12;-228.562E-12;-258.512E-12;-244.325E-12;-260.088E-12;-266.393E-12;-267.970E-12;-290.038E-12;-275.851E-12;-286.885E-12;-277.427E-12
5144;514300;-22.068E-12;-25.221E-12;-33.102E-12;-28.373E-12;-40.984E-12;-42.560E-12;-52.018E-12;-58.323E-12;-61.475E-12;-72.509E-12;-78.815E-12;-85.120E-12;-99.306E-12;-85.120E-12;-108.764E-12;-130.832E-12;-133.985E-12;-192.308E-12;-203.342E-12;-226.986E-12;-260.088E-12;-239.596E-12;-267.970E-12;-256.936E-12;-269.546E-12;-285.309E-12;-282.156E-12;-277.427E-12;-266.393E-12
5145;514400;-20.492E-12;-25.221E-12;-31.526E-12;-31.526E-12;-42.560E-12;-36.255E-12;-50.441E-12;-52.018E-12;-64.628E-12;-69.357E-12;-72.509E-12;-93.001E-12;-102.459E-12;-83.543E-12;-110.340E-12;-132.409E-12;-132.409E-12;-173.392E-12;-211.223E-12;-226.986E-12;-252.207E-12;-241.173E-12;-271.122E-12;-250.630E-12;-272.698E-12;-285.309E-12;-279.004E-12;-282.156E-12;-274.275E-12
5146;514500;-29.950E-12;-28.373E-12;-20.492E-12;-28.373E-12;-47.289E-12;-37.831E-12;-45.712E-12;-59.899E-12;-75.662E-12;-80.391E-12;-77.238E-12;-83.543E-12;-96.154E-12;-107.188E-12;-110.340E-12;-129.256E-12;-130.832E-12;-190.731E-12;-212.799E-12;-226.986E-12;-253.783E-12;-245.902E-12;-260.088E-12;-253.783E-12;-279.004E-12;-290.038E-12;-286.885E-12;-291.614E-12;-271.122E-12
5147;514600;-28.373E-12;-25.221E-12;-42.560E-12;-20.492E-12;-56.747E-12;-37.831E-12;-36.255E-12;-55.170E-12;-64.628E-12;-85.120E-12;-74.086E-12;-77.238E-12;-88.272E-12;-94.578E-12;-119.798E-12;-132.409E-12;-130.832E-12;-186.002E-12;-206.494E-12;-231.715E-12;-260.088E-12;-250.630E-12;-267.970E-12;-258.512E-12;-269.546E-12;-283.733E-12;-293.190E-12;-288.461E-12;-282.156E-12
5148;514700;-22.068E-12;-29.950E-12;-44.136E-12;-36.255E-12;-42.560E-12;-39.407E-12;-34.678E-12;-58.323E-12;-67.781E-12;-72.509E-12;-83.543E-12;-86.696E-12;-91.425E-12;-85.120E-12;-107.188E-12;-135.561E-12;-137.137E-12;-187.579E-12;-203.342E-12;-231.715E-12;-256.936E-12;-249.054E-12;-250.630E-12;-256.936E-12;-275.851E-12;-283.733E-12;-288.461E-12;-288.461E-12;-282.156E-12
5149;514800;-17.339E-12;-34.678E-12;-40.984E-12;-33.102E-12;-36.255E-12;-36.255E-12;-50.441E-12;-52.018E-12;-58.323E-12;-77.238E-12;-86.696E-12;-86.696E-12;-104.035E-12;-81.967E-12;-105.612E-12;-130.832E-12;-138.714E-12;-190.731E-12;-208.071E-12;-233.291E-12;-256.936E-12;-238.020E-12;-264.817E-12;-260.088E-12;-263.241E-12;-280.580E-12;-279.004E-12;-290.038E-12;-280.580E-12
5150;514900;-29.950E-12;-25.221E-12;-31.526E-12;-33.102E-12;-36.255E-12;-44.136E-12;-34.678E-12;-61.475E-12;-67.781E-12;-70.933E-12;-72.509E-12;-93.001E-12;-91.425E-12;-97.730E-12;-107.188E-12;-116.646E-12;-133.985E-12;-189.155E-12;-209.647E-12;-230.139E-12;-266.393E-12;-233.291E-12;-269.546E-12;-264.817E-12;-258.512E-12;-280.580E-12;-280.580E-12;-275.851E-12;-285.309E-12
5151;515000;-22.068E-12;-31.526E-12;-34.678E-12;-34.678E-12;-37.831E-12;-44.136E-12;-48.865E-12;-53.594E-12;-59.899E-12;-74.086E-12;-75.662E-12;-83.543E-12;-83.543E-12;-102.459E-12;-118.222E-12;-118.222E-12;-132.409E-12;-187.579E-12;-212.799E-12;-230.139E-12;-258.512E-12;-244.325E-12;-261.664E-12;-255.359E-12;-275.851E-12;-282.156E-12;-291.614E-12;-282.156E-12;-275.851E-12
5152;515100;-28.373E-12;-20.492E-12;-33.102E-12;-34.678E-12;-34.678E-12;-40.984E-12;-47.289E-12;-59.899E-12;-63.052E-12;-70.933E-12;-80.391E-12;-78.815E-12;-99.306E-12;-104.035E-12;-118.222E-12;-119.798E-12;-140.290E-12;-189.155E-12;-211.223E-12;-230.139E-12;-250.630E-12;-241.173E-12;-255.359E-12;-260.088E-12;-274.275E-12;-280.580E-12;-282.156E-12;-277.427E-12;-272.698E-12
5153;515200;-29.950E-12;-22.068E-12;-34.678E-12;-36.255E-12;-36.255E-12;-34.678E-12;-50.441E-12;-55.170E-12;-64.628E-12;-80.391E-12;-83.543E-12;-81.967E-12;-88.272E-12;-91.425E-12;-118.222E-12;-129.256E-12;-127.680E-12;-187.579E-12;-214.376E-12;-228.562E-12;-250.630E-12;-242.749E-12;-266.393E-12;-260.088E-12;-271.122E-12;-290.038E-12;-274.275E-12;-285.309E-12;-275.851E-12
5154;515300;-29.950E-12;-28.373E-12;-23.644E-12;-39.407E-12;-48.865E-12;-37.831E-12;-40.984E-12;-52.018E-12;-66.204E-12;-70.933E-12;-75.662E-12;-85.120E-12;-88.272E-12;-91.425E-12;-108.764E-12;-135.561E-12;-140.290E-12;-187.579E-12;-209.647E-12;-236.444E-12;-256.936E-12;-245.902E-12;-260.088E-12;-260.088E-12;-269.546E-12;-280.580E-12;-279.004E-12;-282.156E-12;-269.546E-12
5155;515400;-25.221E-12;-36.255E-12;-25.221E-12;-29.950E-12;-52.018E-12;-44.136E-12;-47.289E-12;-52.018E-12;-72.509E-12;-74.086E-12;-72.509E-12;-88.272E-12;-94.578E-12;-100.883E-12;-111.917E-12;-135.561E-12;-138.714E-12;-190.731E-12;-217.528E-12;-226.986E-12;-258.512E-12;-241.173E-12;-261.664E-12;-252.207E-12;-279.004E-12;-277.427E-12;-282.156E-12;-286.885E-12;-271.122E-12
5156;515500;-33.102E-12;-29.950E-12;-36.255E-12;-28.373E-12;-50.441E-12;-34.678E-12;-31.526E-12;-58.323E-12;-59.899E-12;-80.391E-12;-85.120E-12;-77.238E-12;-99.306E-12;-97.730E-12;-108.764E-12;-133.985E-12;-135.561E-12;-198.613E-12;-214.376E-12;-228.562E-12;-253.783E-12;-244.325E-12;-263.241E-12;-256.936E-12;-279.004E-12;-264.817E-12;-277.427E-12;-285.309E-12;-279.004E-12
5157;515600;-22.068E-12;-36.255E-12;-33.102E-12;-20.492E-12;-39.407E-12;-28.373E-12;-33.102E-12;-59.899E-12;-70.933E-12;-85.120E-12;-83.543E-12;-83.543E-12;-102.459E-12;-91.425E-12;-121.374E-12;-126.103E-12;-135.561E-12;-204.918E-12;-208.071E-12;-219.105E-12;-250.630E-12;-247.478E-12;-260.088E-12;-258.512E-12;-272.698E-12;-282.156E-12;-280.580E-12;-291.614E-12;-275.851E-12
